Samples,Station,Date,Longitude,Latitude,Depth,Photic.Zone,All.Zooplankton,LatitudeRegion,Pressure_decibars,Salinity_psu,Temperature_degrees_Celsius
P16S.S104.N21,P16S-S104,2005-02-09,-150,-67.5007,422.7013932,Non-euphotic,37.5849395,Southern_Ocean,427.4,34.7304,1.3501
P16S.S104.N23,P16S-S104,2005-02-09,-150,-67.5007,323.0880133,Non-euphotic,16.46990768,Southern_Ocean,326.6,34.7282,1.4438
P16S.S104.N25,P16S-S104,2005-02-09,-150,-67.5007,223.3274028,Non-euphotic,10.45935981,Southern_Ocean,225.7,34.7075,1.4358
P16S.S104.N27,P16S-S104,2005-02-09,-150,-67.5007,123.6171604,Non-euphotic,13.73723839,Southern_Ocean,124.9,34.1819,-1.1325
P16S.S104.N28,P16S-S104,2005-02-09,-150,-67.5007,93.83315326,Euphotic,10.6957873,Southern_Ocean,94.8,34.0629,-1.6891
P16S.S104.N29,P16S-S104,2005-02-09,-150,-67.5007,58.89820736,Euphotic,4.046871986,Southern_Ocean,59.5,33.9424,-1.4738
P16S.S104.N30,P16S-S104,2005-02-09,-150,-67.5007,39.00340198,Euphotic,27.268760859,Southern_Ocean,39.4,33.556,-0.1649
P16S.S104.N31,P16S-S104,2005-02-09,-150,-67.5007,1.980047676,Euphotic,25.938149781,Southern_Ocean,2,33.5094,-0.0973
P16S.S96.N18,P16S-S96,2005-02-07,-149.997,-63.499,473.5109929,Non-euphotic,29.53105748,Southern_Ocean,478.7,34.7288,1.2015
P16S.S96.N20,P16S-S96,2005-02-07,-149.997,-63.499,288.8658655,Non-euphotic,21.59001599,Southern_Ocean,291.9,34.7298,1.3469
P16S.S96.N23,P16S-S96,2005-02-07,-149.997,-63.499,164.4234547,Non-euphotic,6.71738799,Southern_Ocean,166.1,34.6521,1.02
